Locu	Assay	Panel	group	Sample or ref	Group2	CHROMOSOME	LOCUS PROPERTY																																																																																																																																																																				
C16.004A	14R0328A	14R0328A	6	2	CR2	16	TARGET																																																																																																																																																																				
C16.005A	14R0328A	14R0328A	7	2	CR2	16	TARGET																																																																																																																																																																				
C16.006A	14R0328A	14R0328A	8	2	CR2	16	TARGET																																																																																																																																																																				
C16.038A	14R0328A	14R0328A	1	2	CR1	16	TARGET																																																																																																																																																																				
C16.039A	14R0328A	14R0328A	2	2	CR1	16	TARGET																																																																																																																																																																				
C16.040A	14R0328A	14R0328A	3	2	CR1	16	TARGET																																																																																																																																																																				
C16.041A	14R0328A	14R0328A	4	2	CR1	16	TARGET																																																																																																																																																																				
C16.042A	14R0328A	14R0328A	5	2	CR2	16	TARGET																																																																																																																																																																				
C16.043A	14R0328A	14R0328A	6	2	CR2	16	TARGET																																																																																																																																																																				
C16.044A	14R0328A	14R0328A	7	2	CR2	16	TARGET																																																																																																																																																																				
C16.045A	14R0328A	14R0328A	8	2	CR2	16	TARGET																																																																																																																																																																				
C17.013A	14R0328A	14R0328A	1	2	CR1	17	TARGET																																																																																																																																																																				
C17.014A	14R0328A	14R0328A	2	2	CR1	17	TARGET																																																																																																																																																																				
C17.015A	14R0328A	14R0328A	3	2	CR1	17	TARGET																																																																																																																																																																				
C17.016A	14R0328A	14R0328A	4	2	CR1	17	TARGET																																																																																																																																																																				
C17.017A	14R0328A	14R0328A	5	2	CR2	17	TARGET																																																																																																																																																																				
C17.022A	14R0328A	14R0328A	6	2	CR2	17	TARGET																																																																																																																																																																				
C17.023A	14R0328A	14R0328A	7	2	CR2	17	TARGET																																																																																																																																																																				
C17.024A	14R0328A	14R0328A	8	2	CR2	17	TARGET																																																																																																																																																																				
C17.054A	14R0328A	14R0328A	1	2	CR1	17	TARGET																																																																																																																																																																				
C17.055A	14R0328A	14R0328A	2	2	CR1	17	TARGET																																																																																																																																																																				
C17.056A	14R0328A	14R0328A	3	2	CR1	17	TARGET																																																																																																																																																																				
C17.058A	14R0328A	14R0328A	5	2	CR2	17	TARGET																																																																																																																																																																				
C18.001A	14R0328A	14R0328A	7	2	CR2	18	TARGET																																																																																																																																																																				
C18.002A	14R0328A	14R0328A	8	2	CR2	18	TARGET																																																																																																																																																																				
C18.042A	14R0328A	14R0328A	1	2	CR1	18	TARGET																																																																																																																																																																				
C18.043A	14R0328A	14R0328A	2	2	CR1	18	TARGET																																																																																																																																																																				
C18.044A	14R0328A	14R0328A	3	2	CR1	18	TARGET																																																																																																																																																																				
C18.045A	14R0328A	14R0328A	4	2	CR1	18	TARGET																																																																																																																																																																				
C18.046A	14R0328A	14R0328A	5	2	CR2	18	TARGET																																																																																																																																																																				
C18.047A	14R0328A	14R0328A	6	2	CR2	18	TARGET																																																																																																																																																																				
C18.048A	14R0328A	14R0328A	7	2	CR2	18	TARGET																																																																																																																																																																				
C19.006A	14R0328A	14R0328A	8	2	CR2	19	TARGET																																																																																																																																																																				
C20.030A	14R0328A	14R0328A	3	2	CR1	20	TARGET																																																																																																																																																																				
C20.031A	14R0328A	14R0328A	4	2	CR1	20	TARGET																																																																																																																																																																				
C20.033A	14R0328A	14R0328A	6	2	CR2	20	TARGET																																																																																																																																																																				
C20.034A	14R0328A	14R0328A	7	2	CR2	20	TARGET																																																																																																																																																																				
C20.035A	14R0328A	14R0328A	8	2	CR2	20	TARGET																																																																																																																																																																				
C22.014A	14R0328A	14R0328A	1	2	CR1	22	TARGET																																																																																																																																																																				
C22.015A	14R0328A	14R0328A	2	2	CR1	22	TARGET																																																																																																																																																																				
C22.016A	14R0328A	14R0328A	3	2	CR1	22	TARGET																																																																																																																																																																				
C22.017A	14R0328A	14R0328A	4	2	CR1	22	TARGET																																																																																																																																																																				
C22.018A	14R0328A	14R0328A	5	2	CR2	22	TARGET																																																																																																																																																																				
C22.019A	14R0328A	14R0328A	6	2	CR2	22	TARGET																																																																																																																																																																				
C22.020A	14R0328A	14R0328A	7	2	CR2	22	TARGET																																																																																																																																																																				
C22.021A	14R0328A	14R0328A	8	2	CR2	22	TARGET																																																																																																																																																																				
C23.020A	14R0328A	14R0328A	1	2	CR1	23	TARGET																																																																																																																																																																				
C23.021A	14R0328A	14R0328A	2	2	CR1	23	TARGET																																																																																																																																																																				
C23.022A	14R0328A	14R0328A	3	2	CR1	23	TARGET																																																																																																																																																																				
C23.023A	14R0328A	14R0328A	4	2	CR1	23	TARGET																																																																																																																																																																				
C23.047A	14R0328A	14R0328A	6	2	CR2	23	TARGET																																																																																																																																																																				
C23.048A	14R0328A	14R0328A	7	2	CR2	23	TARGET																																																																																																																																																																				
C23.049A	14R0328A	14R0328A	8	2	CR2	23	TARGET																																																																																																																																																																				
C23.090A	14R0328A	14R0328A	1	2	CR1	23	TARGET																																																																																																																																																																				
C23.091A	14R0328A	14R0328A	2	2	CR1	23	TARGET																																																																																																																																																																				
C24.010A	14R0328A	14R0328A	3	2	CR1	24	TARGET																																																																																																																																																																				
C24.011A	14R0328A	14R0328A	4	2	CR1	24	TARGET																																																																																																																																																																				
C24.012A	14R0328A	14R0328A	5	2	CR2	24	TARGET																																																																																																																																																																				
C24.013A	14R0328A	14R0328A	6	2	CR2	24	TARGET																																																																																																																																																																				
C24.014A	14R0328A	14R0328A	5	2	CR2	24	TARGET																																																																																																																																																																				
C24.015A	14R0328A	14R0328A	4	2	CR1	24	TARGET																																																																																																																																																																				
chr13_q20M	14R0328A	14R0328A	5	2	CR2	13	TARGET																																																																																																																																																																				
chr16_q20M	14R0328A	14R0328A	7	2	CR2	16	TARGET																																																																																																																																																																				
chr20_q20M	14R0328A	14R0328A	7	2	CR2	20	TARGET																																																																																																																																																																				
chr3_p20M	14R0328A	14R0328A	8	2	CR2	3	TARGET																																																																																																																																																																				
chr4_q20M	14R0328A	14R0328A	5	2	CR2	4	TARGET																																																																																																																																																																				
chr6_p20M	14R0328A	14R0328A	7	2	CR2	6	TARGET																																																																																																																																																																				
chr8_q10M	14R0328A	14R0328A	8	2	CR2	8	TARGET																																																																																																																																																																				
chr8_q20M	14R0328A	14R0328A	8	2	CR2	8	TARGET																																																																																																																																																																				
chr9_q20M	14R0328A	14R0328A	5	2	CR2	9	TARGET																																																																																																																																																																				
EoAd_q2m	14R0328A	14R0328A	6	2	CR2	21	TARGET																																																																																																																																																																				
EoAd_q3m	14R0328A	14R0328A	8	2	CR2	21	TARGET																																																																																																																																																																				
