Locu	Assay	Panel	group	Sample or ref	Group2	CHROMOSOME	LOCUS PROPERTY																																																																																																																																																																							
C11.044A	14R0328A	14R0328A	5	2	AR2	11	TARGET																																																																																																																																																																							
C11.045A	14R0328A	14R0328A	6	2	AR2	11	TARGET																																																																																																																																																																							
C11.046A	14R0328A	14R0328A	7	2	AR2	11	TARGET																																																																																																																																																																							
C11.047A	14R0328A	14R0328A	8	2	AR2	11	TARGET																																																																																																																																																																							
chr11_p2M	14R0328A	14R0328A	8	2	AR2	11	TARGET																																																																																																																																																																							
chr12_q0M	14R0328A	14R0328A	5	2	AR2	12	TARGET																																																																																																																																																																							
chr15_q21M	14R0328A	14R0328A	5	2	AR2	15	TARGET																																																																																																																																																																							
C13.033A	14R0328A	14R0328A	1	2	AR1	13	TARGET																																																																																																																																																																							
C13.034A	14R0328A	14R0328A	2	2	AR1	13	TARGET																																																																																																																																																																							
C13.035A	14R0328A	14R0328A	3	2	AR1	13	TARGET																																																																																																																																																																							
C14.001A	14R0328A	14R0328A	4	2	AR1	14	TARGET																																																																																																																																																																							
C14.002A	14R0328A	14R0328A	5	2	AR2	14	TARGET																																																																																																																																																																							
C14.003A	14R0328A	14R0328A	6	2	AR2	14	TARGET																																																																																																																																																																							
C14.004A	14R0328A	14R0328A	7	2	AR2	14	TARGET																																																																																																																																																																							
C14.005A	14R0328A	14R0328A	8	2	AR2	14	TARGET																																																																																																																																																																							
chr14_q20M	14R0328A	14R0328A	7	2	AR2	14	TARGET																																																																																																																																																																							
C15.014A	14R0328A	14R0328A	1	2	AR1	15	TARGET																																																																																																																																																																							
C15.015A	14R0328A	14R0328A	2	2	AR1	15	TARGET																																																																																																																																																																							
C15.016A	14R0328A	14R0328A	3	2	AR1	15	TARGET																																																																																																																																																																							
C15.031A	14R0328A	14R0328A	1	2	AR1	15	TARGET																																																																																																																																																																							
C15.030A	14R0328A	14R0328A	5	2	AR2	15	TARGET																																																																																																																																																																							
C15.032A	14R0328A	14R0328A	7	2	AR2	15	TARGET																																																																																																																																																																							
C15.033A	14R0328A	14R0328A	8	2	AR2	15	TARGET																																																																																																																																																																							
C16.030A	14R0328A	14R0328A	1	2	AR1	16	TARGET																																																																																																																																																																							
C16.031A	14R0328A	14R0328A	2	2	AR1	16	TARGET																																																																																																																																																																							
C16.032A	14R0328A	14R0328A	3	2	AR1	16	TARGET																																																																																																																																																																							
C16.033A	14R0328A	14R0328A	4	2	AR1	16	TARGET																																																																																																																																																																							
C16.034A	14R0328A	14R0328A	5	2	AR2	16	TARGET																																																																																																																																																																							
C16.035A	14R0328A	14R0328A	6	2	AR2	16	TARGET																																																																																																																																																																							
C16.036A	14R0328A	14R0328A	7	2	AR2	16	TARGET																																																																																																																																																																							
C16.037A	14R0328A	14R0328A	8	2	AR2	16	TARGET																																																																																																																																																																							
C17.046A	14R0328A	14R0328A	1	2	AR1	17	TARGET																																																																																																																																																																							
C17.001A	14R0328A	14R0328A	1	2	AR1	17	TARGET																																																																																																																																																																							
C17.002A	14R0328A	14R0328A	2	2	AR1	17	TARGET																																																																																																																																																																							
C17.047A	14R0328A	14R0328A	2	2	AR1	17	TARGET																																																																																																																																																																							
C17.004A	14R0328A	14R0328A	3	2	AR1	17	TARGET																																																																																																																																																																							
C17.048A	14R0328A	14R0328A	3	2	AR1	17	TARGET																																																																																																																																																																							
C17.049A	14R0328A	14R0328A	4	2	AR1	17	TARGET																																																																																																																																																																							
C17.008A	14R0328A	14R0328A	4	2	AR1	17	TARGET																																																																																																																																																																							
C17.009A	14R0328A	14R0328A	5	2	AR2	17	TARGET																																																																																																																																																																							
C17.050A	14R0328A	14R0328A	5	2	AR2	17	TARGET																																																																																																																																																																							
C17.010A	14R0328A	14R0328A	6	2	AR2	17	TARGET																																																																																																																																																																							
C17.051A	14R0328A	14R0328A	6	2	AR2	17	TARGET																																																																																																																																																																							
C17.052A	14R0328A	14R0328A	7	2	AR2	17	TARGET																																																																																																																																																																							
C17.011A	14R0328A	14R0328A	7	2	AR2	17	TARGET																																																																																																																																																																							
C17.012A	14R0328A	14R0328A	8	2	AR2	17	TARGET																																																																																																																																																																							
C17.053A	14R0328A	14R0328A	8	2	AR2	17	TARGET																																																																																																																																																																							
chr17_q0M	14R0328A	14R0328A	8	2	AR2	17	TARGET																																																																																																																																																																							
C18.034A	14R0328A	14R0328A	1	2	AR1	18	TARGET																																																																																																																																																																							
C18.035A	14R0328A	14R0328A	2	2	AR1	18	TARGET																																																																																																																																																																							
C18.036A	14R0328A	14R0328A	3	2	AR1	18	TARGET																																																																																																																																																																							
C18.037A	14R0328A	14R0328A	4	2	AR1	18	TARGET																																																																																																																																																																							
C18.038A	14R0328A	14R0328A	5	2	AR2	18	TARGET																																																																																																																																																																							
C18.039A	14R0328A	14R0328A	6	2	AR2	18	TARGET																																																																																																																																																																							
C18.040A	14R0328A	14R0328A	7	2	AR2	18	TARGET																																																																																																																																																																							
C18.041A	14R0328A	14R0328A	8	2	AR2	18	TARGET																																																																																																																																																																							
chr19_q0M	14R0328A	14R0328A	5	2	AR2	19	TARGET																																																																																																																																																																							
chr19_q10M	14R0328A	14R0328A	7	2	AR2	19	TARGET																																																																																																																																																																							
C20.002A	14R0328A	14R0328A	1	2	AR1	20	TARGET																																																																																																																																																																							
C20.003A	14R0328A	14R0328A	2	2	AR1	20	TARGET																																																																																																																																																																							
C20.004A	14R0328A	14R0328A	3	2	AR1	20	TARGET																																																																																																																																																																							
C20.005A	14R0328A	14R0328A	4	2	AR1	20	TARGET																																																																																																																																																																							
C20.006A	14R0328A	14R0328A	5	2	AR2	20	TARGET																																																																																																																																																																							
C20.007A	14R0328A	14R0328A	6	2	AR2	20	TARGET																																																																																																																																																																							
C20.008A	14R0328A	14R0328A	7	2	AR2	20	TARGET																																																																																																																																																																							
C20.017A	14R0328A	14R0328A	8	2	AR2	20	TARGET																																																																																																																																																																							
C20.018A	14R0328A	14R0328A	8	2	AR2	20	TARGET																																																																																																																																																																							
chr21_q20M	14R0328A	14R0328A	7	2	AR2	21	TARGET																																																																																																																																																																							
C22.006A	14R0328A	14R0328A	1	2	AR1	22	TARGET																																																																																																																																																																							
C22.007A	14R0328A	14R0328A	2	2	AR1	22	TARGET																																																																																																																																																																							
C22.008A	14R0328A	14R0328A	3	2	AR1	22	TARGET																																																																																																																																																																							
C22.009A	14R0328A	14R0328A	4	2	AR1	22	TARGET																																																																																																																																																																							
C22.010A	14R0328A	14R0328A	5	2	AR2	22	TARGET																																																																																																																																																																							
C22.011A	14R0328A	14R0328A	6	2	AR2	22	TARGET																																																																																																																																																																							
C22.012A	14R0328A	14R0328A	7	2	AR2	22	TARGET																																																																																																																																																																							
C22.013A	14R0328A	14R0328A	8	2	AR2	22	TARGET																																																																																																																																																																							
C23.003A	14R0328A	14R0328A	1	2	AR1	23	TARGET																																																																																																																																																																							
C23.077A	14R0328A	14R0328A	1	2	AR1	23	TARGET																																																																																																																																																																							
C23.078A	14R0328A	14R0328A	2	2	AR1	23	TARGET																																																																																																																																																																							
C23.004A	14R0328A	14R0328A	2	2	AR1	23	TARGET																																																																																																																																																																							
C23.005A	14R0328A	14R0328A	3	2	AR1	23	TARGET																																																																																																																																																																							
C23.006A	14R0328A	14R0328A	4	2	AR1	23	TARGET																																																																																																																																																																							
C23.086A	14R0328A	14R0328A	5	2	AR2	23	TARGET																																																																																																																																																																							
C23.007A	14R0328A	14R0328A	5	2	AR2	23	TARGET																																																																																																																																																																							
C23.087A	14R0328A	14R0328A	6	2	AR2	23	TARGET																																																																																																																																																																							
C23.008A	14R0328A	14R0328A	6	2	AR2	23	TARGET																																																																																																																																																																							
C23.009A	14R0328A	14R0328A	7	2	AR2	23	TARGET																																																																																																																																																																							
C23.088A	14R0328A	14R0328A	7	2	AR2	23	TARGET																																																																																																																																																																							
C23.089A	14R0328A	14R0328A	8	2	AR2	23	TARGET																																																																																																																																																																							
C23.015A	14R0328A	14R0328A	8	2	AR2	23	TARGET																																																																																																																																																																							
xq28_q0m	14R0328A	14R0328A	6	2	AR2	23	TARGET																																																																																																																																																																							
xq28_q1m	14R0328A	14R0328A	5	2	AR2	23	TARGET																																																																																																																																																																							
