Site	Chr	Pos1	Pos2	Female	Male
C04.016A	4	13542552	13542592	2	2
C04.017A	4	15937610	15937655	2	2
C04.019A	4	49083645	49083702	2	2
C04.020B	4	53956269	53956318	2	2
C04.021B	4	55095262	55095306	2	2
C04.022B	4	55427012	55427055	2	2
C04.023B	4	55808565	55808611	2	2
C04.024B	4	57796055	57796098	2	2
C04.025A	4	76841077	76841121	2	2
C04.026A	4	81974670	81974717	2	2
C04.027A	4	82510508	82510557	2	2
C04.028A	4	83218238	83218285	2	2
C04.029B	4	83261157	83261205	2	2
C04.030B	4	83520779	83520826	2	2
C04.031B	4	83745710	83745757	2	2
C04.032A	4	83772695	83772740	2	2
C04.033B	4	84222532	84222577	2	2
C04.034A	4	84854578	84853623	2	2
C04.035A	4	86922483	86922528	2	2
C04.036A	4	91525034	91525077	2	2
C04.037B	4	140638414	140638461	2	2
C04.038B	4	146019609	146019652	2	2
C04.039B	4	152571658	152571699	2	2
C04.040B	4	157886428	157886475	2	2
C04.041B	4	164245757	164245805	2	2
C04.043B	4	176572978	176573025	2	2
C04.044B	4	177084226	177084274	2	2
C04.045B	4	177654705	177654756	2	2
C04.046B	4	178514626	178514675	2	2
C04.047B	4	179320065	179320113	2	2
C04.048B	4	184016488	184016537	2	2
C04.049B	4	184275307	184275350	2	2
C04.050B	4	184670294	184670341	2	2
C04.051B	4	185045314	185045361	2	2
C04.052A	4	190790736	190790786	2	2
C05.001A	5	465393	466000	2	2
C05.002A	5	982556	982599	2	2
C05.003A	5	1544504	1544548	2	2
C05.004A	5	1564697	1564737	2	2
C05.005A	5	1594121	1594161	2	2
C05.006A	5	1642634	1642678	2	2
C05.007A	5	2010170	2010214	2	2
C05.008A	5	2415006	2415055	2	2
C05.009A	5	3420891	3420934	2	2
C05.010A	5	5222900	5222947	2	2
C05.011A	5	7709434	7709478	2	2
C05.012A	5	9695937	9695980	2	2
C05.013A	5	13391503	13391550	2	2
C05.014A	5	15048145	15048192	2	2
C05.015A	5	18350650	18350691	2	2
C05.016B	5	36035632	36035681	2	2
C05.017B	5	36384425	36384471	2	2
C05.018B	5	36553035	36553078	2	2
C05.019B	5	36756621	36756670	2	2
C05.020B	5	38881693	38881738	2	2
C05.021A	5	45900737	45900782	2	2
C05.022A	5	50761183	50761228	2	2
C05.023B	5	89325633	89325682	2	2
C05.024B	5	89528204	89528253	2	2
C05.025B	5	89923270	89923312	2	2
C05.026B	5	90368338	90368379	2	2
C05.027B	5	90739171	90739214	2	2
C05.028B	5	107703547	107703595	2	2
C05.029B	5	108133879	108133925	2	2
C05.030B	5	108671044	108671092	2	2
C05.031B	5	109202620	109202669	2	2
C05.032B	5	109655936	109655980	2	2
C05.033B	5	113603714	113603759	2	2
C05.034B	5	116304438	116304482	2	2
C05.035B	5	118556190	118556237	2	2
C05.036B	5	121400869	121400915	2	2
C05.037B	5	123589871	123589918	2	2
C05.038B	5	125819172	125819219	2	2
C05.039B	5	125929478	125929524	2	2
C05.040B	5	126113694	126113740	2	2
C05.041B	5	126162720	126162764	2	2
C05.042B	5	138208863	138208910	2	2
C05.043B	5	138678244	138678288	2	2
C05.044B	5	139303434	139303482	2	2
C05.045B	5	139820597	139820646	2	2
C05.046B	5	145205573	145205618	2	2
C05.047B	5	149631586	149631628	2	2
C05.048A	5	161494719	161494763	2	2
C05.049A	5	164513862	164513908	2	2
C05.050A	5	166319344	166319391	2	2
C05.051A	5	168180955	168180996	2	2
C05.052A	5	170235680	170235727	2	2
C05.053B	5	172860308	172860348	2	2
C05.054B	5	173383108	173383151	2	2
C05.055B	5	173566971	173567018	2	2
C05.056B	5	173705907	173705957	2	2
C05.057B	5	174130348	174130391	2	2
C05.058A	5	175812289	175812332	2	2
C05.059A	5	176165201	176165248	2	2
C05.060A	5	176562722	176562767	2	2
C05.061A	5	176665300	176665346	2	2
C05.062A	5	176700710	176700755	2	2
C05.063A	5	176946034	176946081	2	2
C05.064A	5	180698242	180698284	2	2
C06.001A	6	931392	931440	2	2
C06.002A	6	1448869	1448913	2	2
C06.003A	6	1604341	1604841	2	2
C06.004A	6	1613254	1613461	2	2
C06.005A	6	1614859	1614905	2	2
C06.006A	6	1726649	1726698	2	2
C06.007A	6	1850392	1850437	2	2
C06.008A	6	2198381	2198427	2	2
C06.009A	6	3113623	3113667	2	2
C06.010A	6	4426687	4426730	2	2
C06.011B	6	6266868	6266912	2	2
C06.012B	6	6770275	6770323	2	2
C06.013B	6	7187686	7187733	2	2
C06.014B	6	7611723	7611768	2	2
C06.015B	6	8240202	8240250	2	2
C06.016B	6	16300002	16300049	2	2
C06.017B	6	16761628	16761670	2	2
C06.018B	6	17093366	17093406	2	2
C06.019B	6	20100263	20100307	2	2
C06.020B	6	25554280	25554327	2	2
C06.021A	6	58612838	58612889	2	2
C06.022A	6	71321914	71321959	2	2
C06.023B	6	99382662	99382710	2	2
C06.024B	6	100160424	100160467	2	2
C06.025B	6	100911339	100911386	2	2
C06.026B	6	101489040	101489088	2	2
C06.027B	6	108372235	108372284	2	2
C06.028B	6	112386057	112386099	2	2
C06.029B	6	117710526	117710567	2	2
C06.031B	6	156839581	156839625	2	2
C06.032B	6	157287125	157287171	2	2
C06.033B	6	157338784	157338832	2	2
C06.034B	6	157410430	157410477	2	2
C06.035B	6	157710814	157710858	2	2
C06.037A	6	168990171	168990215	2	2
C06.038A	6	169614931	169614974	2	2
C06.039A	6	169857522	169857562	2	2
C06.040A	6	170166933	170166977	2	2
C06.041A	6	170428607	170428651	2	2
C06.042A	6	170575699	170575745	2	2
C07.001B	7	143437	143487	2	2
C07.002B	7	339126	339172	2	2
C07.003B	7	638220	638264	2	2
C07.004B	7	1070934	1070977	2	2
C07.005B	7	1562733	1562775	2	2
C07.006A	7	5232093	5232137	2	2
C07.007A	7	5460930	5460972	2	2
C07.008A	7	5618379	5618427	2	2
C07.009A	7	5692074	5692120	2	2
C07.010A	7	5732486	5732530	2	2
C07.011A	7	5792355	5792404	2	2
C07.012A	7	5835557	5835604	2	2
C07.014B	7	18720301	18720344	2	2
C07.015B	7	19201993	19202040	2	2
C07.016B	7	19325635	19325684	2	2
C07.017B	7	19443017	19443064	2	2
C07.018B	7	19629264	19629312	2	2
C07.019A	7	21200798	21201790	2	2
C07.020A	7	21781541	21781589	2	2
C07.021A	7	23383905	23383946	2	2
C07.022A	7	24486677	24486720	2	2
C07.023A	7	26452464	26452513	2	2
C07.024A	7	57318846	57318895	2	2
C07.025A	7	62509685	62509734	2	2
C07.026B	7	69947686	69947731	2	2
C07.027B	7	69970225	69970271	2	2
C07.028B	7	70063603	70063647	2	2
C07.029B	7	70203040	70203085	2	2
C07.030A	7	72858312	72858353	2	2
C07.031A	7	73113632	73113675	2	2
C07.032A	7	73262113	73262156	2	2
C07.033A	7	73483725	73483766	2	2
C07.034A	7	74020336	74021050	2	2
C07.035A	7	74071135	74071978	2	2
C07.036A	7	75185332	75185375	2	2
C07.037A	7	75517935	75517976	2	2
C07.038A	7	75877518	75877559	2	2
C07.039A	7	75998425	75998468	2	2
C07.040B	7	95125327	95125375	2	2
C07.041B	7	95727305	95727352	2	2
C07.042B	7	96339166	96339210	2	2
C07.043B	7	96970939	96970982	2	2
C07.044B	7	117307317	117307363	2	2
C07.045B	7	117824100	117824142	2	2
C07.046B	7	118550113	118550160	2	2
C07.047B	7	119295655	119295700	2	2
C07.048B	7	120388125	120388169	2	2
C07.049A	7	139121221	139121271	2	2
C07.051B	7	150171254	150171303	2	2
C07.052B	7	151064116	151064164	2	2
C07.053B	7	151411071	151411116	2	2
C07.054B	7	151818011	151818051	2	2
C07.055B	7	152160314	152160359	2	2
C07.056A	7	155715254	155715294	2	2
C07.057A	7	156931953	156931995	2	2
C07.058A	7	157952036	157952079	2	2
C07.059A	7	158141222	158141560	2	2
C07.060A	7	158394764	158394807	2	2
C07.061A	7	159001000	159001148	2	2
C07.062A	7	159029030	159029073	2	2
C08.001A	8	413101	413146	2	2
C08.002A	8	751350	751890	2	2
C08.003A	8	962765	963365	2	2
C08.004A	8	1223303	1223848	2	2
C08.005A	8	2130160	2130199	2	2
C08.006A	8	3425286	3425332	2	2
C08.007A	8	6302778	6302819	2	2
C08.008A	8	8244906	8244949	2	2
C08.009A	8	8993992	8994036	2	2
C08.010A	8	9953161	9953204	2	2
C08.011A	8	10782158	10782203	2	2
C08.012A	8	11617710	11617755	2	2
C08.013A	8	11654830	11654884	2	2
C08.014A	8	11696284	11696328	2	2
C08.015A	8	14273339	14273388	2	2
C08.016A	8	16184288	16184335	2	2
C08.017A	8	22029000	22029250	2	2
C08.018B	8	26513447	26513491	2	2
C08.019A	8	32405798	32405840	2	2
C08.020A	8	36629419	36630000	2	2
C08.021B	8	38268680	38268726	2	2
C08.022B	8	38934852	38934895	2	2
C08.023B	8	39792681	39792725	2	2
C08.024B	8	41549065	41549110	2	2
C08.025A	8	42704808	42704856	2	2
C08.026A	8	53135152	53135197	2	2
C08.027B	8	61433252	61433297	2	2
C08.028B	8	61535320	61535361	2	2
C08.029B	8	61571112	61571159	2	2
C08.030B	8	61879411	61879454	2	2
C08.031B	8	72124100	72124146	2	2
C08.032B	8	72191721	72191765	2	2
C08.033B	8	72268698	72268744	2	2
C08.034B	8	72314415	72314458	2	2
C08.035B	8	72467786	72467829	2	2
C08.036B	8	76290612	76290658	2	2
C08.037B	8	77616281	77616325	2	2
C08.038B	8	78565649	78565696	2	2
C08.039B	8	79717174	79717216	2	2
C08.040B	8	93846230	93846275	2	2
C08.041B	8	94053261	94053306	2	2
C08.042B	8	94279746	94279789	2	2
C08.043B	8	94507999	94508043	2	2
C08.044B	8	95205232	95205275	2	2
C08.045B	8	104831496	104831542	2	2
C08.046B	8	106066007	106066050	2	2
C08.047B	8	106365688	106365736	2	2
C08.048B	8	106670366	106670413	2	2
C08.049B	8	107858568	107858612	2	2
C08.050B	8	118188050	118188095	2	2
C08.051B	8	119941124	119941169	2	2
C08.052B	8	120257097	120257140	2	2
C08.053B	8	120596208	120596255	2	2
C08.054B	8	120963642	120963686	2	2
C08.056B	8	131331096	131331141	2	2
C08.057B	8	133722372	133722415	2	2
C08.058B	8	136554969	136555014	2	2
C08.059B	8	138200454	138200496	2	2
C08.060B	8	140629895	140629937	2	2
C08.061B	8	145086674	145086716	2	2
C08.062B	8	145138366	145138409	2	2
C08.063B	8	145181490	145181537	2	2
C08.064B	8	145502957	145503004	2	2
C08.065B	8	145757519	145757562	2	2
C09.001A	9	469872	470172	2	2
C09.002A	9	708585	708785	2	2
C09.003A	9	968652	968694	2	2
C09.004A	9	1318373	1318418	2	2
C09.005A	9	2077665	2077706	2	2
C09.006A	9	3219921	3219964	2	2
C09.007A	9	5080549	5080595	2	2
C09.008A	9	5570024	5570066	2	2
C09.009A	9	6328446	6328491	2	2
C09.010A	9	7169915	7169958	2	2
C09.011A	9	8873099	8873545	2	2
C09.012A	9	10405234	10405282	2	2
C09.013A	9	11318552	11318597	2	2
C09.014A	9	16595418	16595460	2	2
C09.016A	9	38771968	38772022	2	2
C09.017A	9	71131148	71131198	2	2
C09.018B	9	98638037	98638079	2	2
C09.019B	9	98857361	98857408	2	2
C09.020B	9	99071328	99071375	2	2
C09.021B	9	99277831	99277878	2	2
C09.022B	9	99636449	99636495	2	2
C09.023B	9	102018803	102018845	2	2
C09.024B	9	103421193	103421239	2	2
C09.025B	9	105188299	105188344	2	2
C09.026B	9	106436645	106436692	2	2
C09.027B	9	108152100	108152141	2	2
C09.029B	9	130742476	130742517	2	2
C09.030B	9	131051029	131051073	2	2
C09.031B	9	131185429	131185472	2	2
C09.032B	9	131331059	131331103	2	2
C09.033B	9	131566358	131566407	2	2
C09.034B	9	139241681	139241722	2	2
C09.035B	9	139300579	139300622	2	2
C09.036B	9	139345719	139345762	2	2
C09.037B	9	139372092	139372141	2	2
C09.038B	9	139432599	139432642	2	2
C09.039A	9	140113340	140113850	2	2
C09.040A	9	140415297	140415339	2	2
C09.041A	9	140519628	140519745	2	2
C09.042A	9	140657192	140657235	2	2
C09.043A	9	140720014	140720058	2	2
C09.044A	9	140785604	140785649	2	2
C09.045A	9	140909200	140909400	2	2
C10.001A	10	147950	147996	2	2
C10.002A	10	230920	230967	2	2
C10.003A	10	267138	267186	2	2
C10.004A	10	321094	321139	2	2
C10.005A	10	823949	823991	2	2
C10.006A	10	1247840	1247881	2	2
C10.007A	10	2379302	2379351	2	2
C10.008B	10	7602423	7602466	2	2
C10.009B	10	8253485	8253528	2	2
C10.010B	10	9227239	9227288	2	2
C10.011B	10	10085265	10085314	2	2
C10.012B	10	11201051	11201096	2	2
C10.014A	10	38431254	38431315	2	2
C10.015A	10	47149178	47149221	2	2
C10.016A	10	48881500	48889100	2	2
C10.017A	10	49431232	49431277	2	2
C10.018A	10	49917093	49917137	2	2
C10.019A	10	50543420	50543465	2	2
C10.020A	10	51008409	51008455	2	2
C10.021A	10	51565190	51565236	2	2
C10.022A	10	82031709	82031753	2	2
C10.023A	10	83108216	83108265	2	2
C10.024A	10	84718731	84718780	2	2
C10.025A	10	86184690	86184736	2	2
C10.026A	10	88124706	88124906	2	2
C10.027B	10	103197740	103197786	2	2
C10.028B	10	103251832	103251880	2	2
C10.029B	10	103312978	103313020	2	2
C10.030B	10	103355932	103355977	2	2
C10.031B	10	103408195	103408240	2	2
C10.032B	10	115821447	115821496	2	2
C10.033B	10	116361660	116361705	2	2
C10.034B	10	116464577	116464625	2	2
C10.035B	10	116584020	116584067	2	2
C10.036B	10	117040946	117040990	2	2
C10.038A	10	130134610	130134652	2	2
C10.039A	10	132158983	132159026	2	2
C10.040A	10	132829513	132829700	2	2
C10.041A	10	134305588	134305636	2	2
C10.042A	10	134424234	134424276	2	2
C10.043A	10	134490326	134490369	2	2
C10.044A	10	134578104	134578143	2	2
C10.045A	10	134840369	134841000	2	2
C11.001B	11	203019	203063	2	2
C11.002B	11	526539	526586	2	2
C11.003B	11	682138	682181	2	2
C11.004A	11	10209508	10210000	2	2
C11.006B	11	26682041	26682089	2	2
C11.007B	11	28303728	28303776	2	2
C11.008B	11	30033600	30033644	2	2
C11.009B	11	31429741	31429788	2	2
C11.010B	11	31632229	31632276	2	2
C11.011B	11	31663391	31663439	2	2
C11.012B	11	31711037	31711083	2	2
C11.013B	11	31746530	31746578	2	2
C11.014B	11	33913373	33913416	2	2
C11.015A	11	43150515	43150559	2	2
C11.016A	11	44284977	44285016	2	2
C11.017A	11	44729705	44729751	2	2
C11.018A	11	45245872	45245916	2	2
C11.019A	11	45745883	45745926	2	2
C11.020A	11	47282159	47282199	2	2
C11.021A	11	50174914	50174961	2	2
C11.022A	11	55170756	55170808	2	2
C11.023B	11	67051689	67051732	2	2
C11.024B	11	67132151	67132196	2	2
C11.025B	11	67226265	67226308	2	2
C11.026B	11	67325734	67325776	2	2
C11.027B	11	67430519	67430558	2	2
C11.028B	11	91083001	91083049	2	2
C11.029B	11	93029326	93029375	2	2
C11.030B	11	94899264	94899309	2	2
C11.031B	11	96123374	96123416	2	2
C11.032B	11	97134399	97134448	2	2
C11.033B	11	104741453	104741501	2	2
C11.034B	11	104931351	104931397	2	2
C11.035B	11	105019198	105019247	2	2
C11.036B	11	105169212	105169256	2	2
C11.037B	11	105396851	105396899	2	2
C11.038B	11	113102890	113102932	2	2
C11.039B	11	116618978	116619022	2	2
C11.040B	11	120186098	120186141	2	2
