Locu	Assay	Panel	group	Sample or ref	Group2	CHROMOSOME	LOCUS PROPERTY																																																																																																																																																																					
C22.026A	14R0328A	14R0328A	2	2	DR1	22	TARGET																																																																																																																																																																					
C22.030A	14R0328A	14R0328A	3	2	DR1	22	TARGET																																																																																																																																																																					
C22.031A	14R0328A	14R0328A	4	2	DR1	22	TARGET																																																																																																																																																																					
C22.038A	14R0328A	14R0328A	5	2	DR2	22	TARGET																																																																																																																																																																					
C22.039A	14R0328A	14R0328A	6	2	DR2	22	TARGET																																																																																																																																																																					
C22.040A	14R0328A	14R0328A	7	2	DR2	22	TARGET																																																																																																																																																																					
C22.041A	14R0328A	14R0328A	8	2	DR2	22	TARGET																																																																																																																																																																					
C23.050A	14R0328A	14R0328A	1	2	DR1	23	TARGET																																																																																																																																																																					
C23.051A	14R0328A	14R0328A	2	2	DR1	23	TARGET																																																																																																																																																																					
C23.052A	14R0328A	14R0328A	3	2	DR1	23	TARGET																																																																																																																																																																					
C23.053A	14R0328A	14R0328A	4	2	DR1	23	TARGET																																																																																																																																																																					
C23.056A	14R0328A	14R0328A	5	2	DR2	23	TARGET																																																																																																																																																																					
C23.057A	14R0328A	14R0328A	6	2	DR2	23	TARGET																																																																																																																																																																					
C23.058A	14R0328A	14R0328A	7	2	DR2	23	TARGET																																																																																																																																																																					
C23.059A	14R0328A	14R0328A	8	2	DR2	23	TARGET																																																																																																																																																																					
C24.016A	14R0328A	14R0328A	1	2	DR1	24	TARGET																																																																																																																																																																					
C24.018A	14R0328A	14R0328A	3	2	DR1	24	TARGET																																																																																																																																																																					
C24.020A	14R0328A	14R0328A	5	2	DR2	24	TARGET																																																																																																																																																																					
C24.021A	14R0328A	14R0328A	6	2	DR2	24	TARGET																																																																																																																																																																					
C24.022A	14R0328A	14R0328A	7	2	DR2	24	TARGET																																																																																																																																																																					
C24.023A	14R0328A	14R0328A	8	2	DR2	24	TARGET																																																																																																																																																																					
EoAd_q4m	14R0328A	14R0328A	6	2	DR2	21	TARGET																																																																																																																																																																					
chr10_p20M	14R0328A	14R0328A	8	2	DR2	10	TARGET																																																																																																																																																																					
chr10_q21M	14R0328A	14R0328A	5	2	DR2	10	TARGET																																																																																																																																																																					
chr12_q10M	14R0328A	14R0328A	8	2	DR2	12	TARGET																																																																																																																																																																					
chr12_q20M	14R0328A	14R0328A	7	2	DR2	12	TARGET																																																																																																																																																																					
chr13_Cq2M	14R0328A	14R0328A	5	2	DR2	13	TARGET																																																																																																																																																																					
chr21_Cq(_3M)	14R0328A	14R0328A	7	2	DR2	21	TARGET																																																																																																																																																																					
chr21_Cq7M	14R0328A	14R0328A	7	2	DR2	21	TARGET																																																																																																																																																																					
chr2_p20M	14R0328A	14R0328A	5	2	DR2	2	TARGET																																																																																																																																																																					
chr2_q20M	14R0328A	14R0328A	8	2	DR2	2	TARGET																																																																																																																																																	
